source_id,name,group,registry,cadence,cadence_days,next_expected,release_window,poller,runner,test_packages,curated,notes
afs_amalgamated:2016,Local Authority AFS 2016 (amalgamated),afs_amalgamated,source_registry,annual,365,,,afs_amalgamated_extract,residential,extractors/test_afs_amalgamated.py; sql_views/test_procurement_afs_national.py,no,"AUTO-SEEDED — set cadence + next_expected, then curated=yes"
afs_amalgamated:2017,Local Authority AFS 2017 (amalgamated),afs_amalgamated,source_registry,annual,365,,,afs_amalgamated_extract,residential,extractors/test_afs_amalgamated.py; sql_views/test_procurement_afs_national.py,no,"AUTO-SEEDED — set cadence + next_expected, then curated=yes"
afs_amalgamated:2018,Local Authority AFS 2018 (amalgamated),afs_amalgamated,source_registry,annual,365,,,afs_amalgamated_extract,residential,extractors/test_afs_amalgamated.py; sql_views/test_procurement_afs_national.py,no,"AUTO-SEEDED — set cadence + next_expected, then curated=yes"
afs_amalgamated:2019,Local Authority AFS 2019 (amalgamated),afs_amalgamated,source_registry,annual,365,,,afs_amalgamated_extract,residential,extractors/test_afs_amalgamated.py; sql_views/test_procurement_afs_national.py,no,"AUTO-SEEDED — set cadence + next_expected, then curated=yes"
afs_amalgamated:2020,Local Authority AFS 2020 (amalgamated),afs_amalgamated,source_registry,annual,365,,,afs_amalgamated_extract,residential,extractors/test_afs_amalgamated.py; sql_views/test_procurement_afs_national.py,no,"AUTO-SEEDED — set cadence + next_expected, then curated=yes"
afs_amalgamated:2021,Local Authority AFS 2021 (amalgamated),afs_amalgamated,source_registry,annual,365,,,afs_amalgamated_extract,residential,extractors/test_afs_amalgamated.py; sql_views/test_procurement_afs_national.py,no,"AUTO-SEEDED — set cadence + next_expected, then curated=yes"
afs_amalgamated:2022,Local Authority AFS 2022 (amalgamated),afs_amalgamated,source_registry,annual,365,,,afs_amalgamated_extract,residential,extractors/test_afs_amalgamated.py; sql_views/test_procurement_afs_national.py,no,"AUTO-SEEDED — set cadence + next_expected, then curated=yes"
afs_amalgamated:2023,Local Authority AFS 2023 (amalgamated),afs_amalgamated,source_registry,annual,365,,,afs_amalgamated_extract,residential,extractors/test_afs_amalgamated.py; sql_views/test_procurement_afs_national.py,no,"AUTO-SEEDED — set cadence + next_expected, then curated=yes"
afs_amalgamated:2024,Local Authority AFS 2024 (amalgamated),afs_amalgamated,source_registry,annual,365,,,afs_amalgamated_extract,residential,extractors/test_afs_amalgamated.py; sql_views/test_procurement_afs_national.py,no,"AUTO-SEEDED — set cadence + next_expected, then curated=yes"
api_canary:etenders,eTenders open data (data.gov.ie CKAN),api_canary,source_registry,review,0,,,pdf_endpoint_check,cloud,pdf_infra/test_endpoint_canaries.py,no,"AUTO-SEEDED — set cadence + next_expected, then curated=yes"
api_canary:lobbying,Lobbying Register API (api.lobbying.ie),api_canary,source_registry,review,0,,,pdf_endpoint_check,cloud,pdf_infra/test_endpoint_canaries.py,no,"AUTO-SEEDED — set cadence + next_expected, then curated=yes"
api_canary:oireachtas_api,Oireachtas API (api.oireachtas.ie),api_canary,source_registry,review,0,,,pdf_endpoint_check,cloud,pdf_infra/test_endpoint_canaries.py,no,"AUTO-SEEDED — set cadence + next_expected, then curated=yes"
api_canary:ted,TED EU notices search API,api_canary,source_registry,review,0,,,pdf_endpoint_check,cloud,pdf_infra/test_endpoint_canaries.py,no,"AUTO-SEEDED — set cadence + next_expected, then curated=yes"
api_canary:wikidata,Wikidata SPARQL,api_canary,source_registry,review,0,,,pdf_endpoint_check,cloud,pdf_infra/test_endpoint_canaries.py,no,"AUTO-SEEDED — set cadence + next_expected, then curated=yes"
file_sources:charities_register,Charities Public Register,file_sources,source_registry,biannual,180,,,charity_normalise,cloud,charity/test_charity_implausible_flag.py,yes,"AUTO-SEEDED — set cadence + next_expected, then curated=yes [curated build_source_registry MANUAL_SOURCES stale_after_days=180]"
file_sources:cro_companies,CRO bulk company register,file_sources,source_registry,weekly,7,,,cro_poller,cloud,corporate/test_cro_poller.py; utility/test_page_module_shadowing.py,yes,"AUTO-SEEDED — set cadence + next_expected, then curated=yes [curated corporate/cro_poller.py stale_after_days=7]"
file_sources:cro_financial_statements,CRO financial-statements filing index,file_sources,source_registry,biannual,200,,,cro_financial_statements_extract,cloud,extractors/test_cro_financial_statements.py,yes,"AUTO-SEEDED — set cadence + next_expected, then curated=yes [curated cro_financial_statements_extract.py stale_after_days=200]"
hse_tusla_payments:ie_hse,HSE,hse_tusla_payments,source_registry,monthly,30,,,procurement_hse_tusla_parser,cloud,extractors/test_hse_tusla_parser.py,no,"AUTO-SEEDED — set cadence + next_expected, then curated=yes"
hse_tusla_payments:ie_tusla,Tusla,hse_tusla_payments,source_registry,monthly,30,,,procurement_hse_tusla_parser,cloud,extractors/test_hse_tusla_parser.py,no,"AUTO-SEEDED — set cadence + next_expected, then curated=yes"
ipas_accommodation:cag_reports_index,"C&AG publications index (RoAPS chapters, special reports, appropriation accounts)",ipas_accommodation,source_registry,annual,400,,,pipeline_sandbox.new_sources,residential,siting/test_engine_calibration.py,yes,"AUTO-SEEDED — set cadence + next_expected, then curated=yes [curated extractors/ipas_sources.py stale_after_days=400]"
ipas_accommodation:hiqa_inspection_reports,HIQA — IPAS centre inspection reports,ipas_accommodation,source_registry,rolling,90,,,pipeline_sandbox.new_sources,cloud,siting/test_engine_calibration.py,yes,"AUTO-SEEDED — set cadence + next_expected, then curated=yes [curated extractors/ipas_sources.py stale_after_days=90]"
ipas_accommodation:igees_ipas_paper,IGEES — Managing IPAS Expenditure Pressures (analytical paper),ipas_accommodation,source_registry,episodic,0,,,pipeline_sandbox.new_sources,residential,siting/test_engine_calibration.py,yes,"AUTO-SEEDED — set cadence + next_expected, then curated=yes [curated extractors/ipas_sources.py one-off paper]"
ipas_accommodation:ipas_accommodation_strategy,Comprehensive Accommodation Strategy for International Protection Applicants,ipas_accommodation,source_registry,episodic,0,,,pipeline_sandbox.new_sources,residential,siting/test_engine_calibration.py,yes,"AUTO-SEEDED — set cadence + next_expected, then curated=yes [curated extractors/ipas_sources.py episodic]"
ipas_accommodation:ipas_national_standards,National Standards for accommodation offered to people in the protection process,ipas_accommodation,source_registry,rare,0,,,pipeline_sandbox.new_sources,residential,siting/test_engine_calibration.py,yes,"AUTO-SEEDED — set cadence + next_expected, then curated=yes [curated extractors/ipas_sources.py rare/hash-watch]"
ipas_accommodation:ipas_weekly_stats,IPAS weekly accommodation & arrivals statistics,ipas_accommodation,source_registry,weekly,21,,,pipeline_sandbox.new_sources,residential,siting/test_engine_calibration.py,yes,"AUTO-SEEDED — set cadence + next_expected, then curated=yes [curated extractors/ipas_sources.py stale_after_days=21]"
